RandRep,Treat,Gen,CovParm,Subject,Estimate
876,1,3,"UN(4,2)",Anim(Trea*Line*Vial),0.02883
876,1,3,"UN(4,3)",Anim(Trea*Line*Vial),-0.05949
876,1,3,"UN(4,4)",Anim(Trea*Line*Vial),0.8928
876,1,3,"UN(5,1)",Anim(Trea*Line*Vial),0.1217
876,1,3,"UN(5,2)",Anim(Trea*Line*Vial),0.5215
876,1,3,"UN(5,3)",Anim(Trea*Line*Vial),-0.1909
876,1,3,"UN(5,4)",Anim(Trea*Line*Vial),0.09803
876,1,3,"UN(5,5)",Anim(Trea*Line*Vial),0.7326
876,1,3,"UN(6,1)",Anim(Trea*Line*Vial),-0.1067
876,1,3,"UN(6,2)",Anim(Trea*Line*Vial),-0.1464
876,1,3,"UN(6,3)",Anim(Trea*Line*Vial),-0.2611
876,1,3,"UN(6,4)",Anim(Trea*Line*Vial),-0.1309
876,1,3,"UN(6,5)",Anim(Trea*Line*Vial),-0.1672
876,1,3,"UN(6,6)",Anim(Trea*Line*Vial),0.7171
876,1,4,"UN(1,1)",Line,0.1567
876,1,4,"UN(2,1)",Line,0.03122
876,1,4,"UN(2,2)",Line,0.05310
876,1,4,"UN(3,1)",Line,0.07810
876,1,4,"UN(3,2)",Line,0.06899
876,1,4,"UN(3,3)",Line,0.3487
876,1,4,"UN(4,1)",Line,-0.06783
876,1,4,"UN(4,2)",Line,-0.02561
876,1,4,"UN(4,3)",Line,0.05183
876,1,4,"UN(4,4)",Line,0.07431
876,1,4,"UN(5,1)",Line,0.03495
876,1,4,"UN(5,2)",Line,0.02742
876,1,4,"UN(5,3)",Line,0.005556
876,1,4,"UN(5,4)",Line,-0.04320
876,1,4,"UN(5,5)",Line,0.05408
876,1,4,"UN(6,1)",Line,-0.1020
876,1,4,"UN(6,2)",Line,-0.08961
876,1,4,"UN(6,3)",Line,-0.3749
876,1,4,"UN(6,4)",Line,-0.06260
876,1,4,"UN(6,5)",Line,-0.00465
876,1,4,"UN(6,6)",Line,0.4948
876,1,4,"UN(1,1)",Vial(Treat*Line),0.1756
876,1,4,"UN(2,1)",Vial(Treat*Line),0.1279
876,1,4,"UN(2,2)",Vial(Treat*Line),0.08047
876,1,4,"UN(3,1)",Vial(Treat*Line),0.002484
